company_short_name,company_full_name,ogrn,inn,product,role,urls
"РОМТЕК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОМТЕК""",1226600022505,6685199160,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СВАРОГ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВАРОГ""",1240100001096,100008275,,Связанная компания,
"СЕРВИС-СН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-СН""",1231800003390,1840119099,,Связанная компания,
"СИЛЬВА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИЛЬВА""",1220300007080,300008875,,Связанная компания,
"СКАЙВЛ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙВЛ""",1242500027197,2540288651,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СКИЛЛДРОН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКИЛЛДРОН""",1237700782550,9724155774,,Связанная компания,
"СТУПОР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУПОР""",1214000002259,4025458030,,ПО,
"СУЦ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ УЧЕБНЫЙ ЦЕНТР""",1231800003401,1840119109,,Связанная компания,
"ТЕХНОРАССВЕТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОРАССВЕТ""",1237700651540,7735200880,,Связанная компания,
"ТК АЙТИ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК АЙТИ""",1247700412948,9725160819,,Связанная компания,
"ТК АС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК АВИА СИСТЕМЫ""",1237700322606,9725123045,,Связанная компания,
"ТОЧКА ВЗЛЁТА, ООО ЦПО БПЛА","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦЕНТР ПОДГОТОВКИ ОПЕРАТОРОВ БПЛА ""ТОЧКА ВЗЛЁТА""",1255200006940,5259158548,,Обучение,
"ТСВК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУЛА СВК""",1247100003545,7100052196,,Связанная компания,
"ТТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОНКОР ТЕХНОЛОДЖИ""",1221600102998,1655491520,,Связанная компания,
"УК ИНТЦ ИНТЕЛЛЕКТУАЛЬНАЯ ЭЛЕКТРОНИКА-ВАЛДАЙ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИННОВАЦИОННОГО НАУЧНО-ТЕХНОЛОГИЧЕСКОГО ЦЕНТРА ""ИНТЕЛЛЕКТУАЛЬНАЯ ЭЛЕКТРОНИКА - ВАЛДАЙ""",1225300000694,5300002784,,"Управление, связанная компания",intc-valday.ru
"ФГД НСО, НРФСОО","НОВОСИБИРСКАЯ РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ГОНОК ДРОНОВ НОВОСИБИРСКОЙ ОБЛАСТИ""",1245400009601,5404951956,,Спортивная ассоциация,
"ФГДМ, РФСОО","РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ГОНОК ДРОНОВ (БЕСПИЛОТНЫХ ВОЗДУШНЫХ СУДОВ) ГОРОДА МОСКВЫ""",1237700621322,9725134400,,Спортивная ассоциация,
"ФОНД ЭРА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОНД ЭРА""",1176313076433,6316237712,,Управление,
"ЦАРС, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР АВТОНОМНЫХ РОБОТИЗИРОВАННЫХ СИСТЕМ""",1237700299473,7720896136,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",царс.рф
"ЦБА МАКСИМА КОНДРАТЬЕВА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР БЕСПИЛОТНОЙ АВИАЦИИ МАКСИМА КОНДРАТЬЕВА""",1237700031799,9721195497,,Образование,cba-avia.ru
"ЦБСТ, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ И ТЕХНОЛОГИЙ""",1247700190430,9702064851,,Связанная компания,
"ЦЕНТР ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ""",1207700160161,7727443671,,"Обучение, связанная компания",pilotdronov.ru
"ЦКРЗО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КОМПЕТЕНЦИИ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ РАЗЛИЧНОГО НАЗНАЧЕНИЯ В ИНТЕРЕСАХ ЗАЩИТЫ И ОБОРОНЫ""",1231600037350,1683015019,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ЦСТ НВП РОКОТ, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СПЕЦИАЛЬНОЙ ТАКТИЧЕСКОЙ И НАЧАЛЬНОЙ ВОЕННОЙ ПОДГОТОВКИ ""РОКОТ""",1235000132432,5074084540,,Образование,https://cstnvprokot.ru/fpv/
"ЦУГАМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР УПРАВЛЕНИЯ ГОРОДСКОЙ АЭРОМОБИЛЬНОСТЬЮ""",1227700378553,9731094770,,Интегратор,uamoc.ru
"ШКОЛА БПЛА СОКОЛЫ, АНО ДПО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ШКОЛА БПЛА СОКОЛЫ ИМЕНИ СВЯТОЙ РАВНОАПОСТОЛЬНОЙ КНЯГИНИ ОЛЬГИ""",1257800005385,7838128234,,Обучение,
"ШКОЛА ДРОНОВ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШКОЛА ДРОНОВ""",1241500004701,1500019322,,Обучение,
"ШКОЛА ОПЕРАТОРОВ БПЛА СОКОЛ, АНО ДПО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ШКОЛА ОПЕРАТОРОВ БПЛА ""СОКОЛ""",1246400013133,6453178321,,Обучение,
"ЮА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИОН АДДИТИВ""",1222600012678,2635255189,,Связанная компания,
